Strength Index,Common Name,Scientific Name,Janka Index,MOE Index,MOR Index,Crush Index
19.5,European Aspen,Populus tremula,7.2,27.4,20.3,22.8
19.4,English Elm,Ulmus procera,16.7,18.5,21.5,21
19.3,American Chestnut,Castanea dentata,10.7,23.1,19.2,24.2
19.3,Eastern Hemlock,Tsuga canadensis,9.8,22.4,20.1,24.7
19.2,Basswood,Tilia americana,7.9,28.5,19.5,20.9
19.2,Balsam fir,Abies balsamea,7.7,26.8,19.8,22.4
19.1,Guanacaste,Enterolobium cyclocarpum,9.2,23.1,19.3,24.6
18.9,Eastern Cottonwood,Populus deltoides,8.3,26.4,19,21.9
18.9,Espave,Anacardium excelsum,9.2,23.9,20.5,22
18.7,White Spruce,Picea glauca,9.4,25.1,19.4,20.9
18.7,Limber Pine,Pinus flexilis,8.3,21.7,20.6,24
18.6,Engelmann Spruce,Picea engelmannii,7.4,26.4,20.4,20
18.4,Pin Cherry,Prunus pensylvanica,10.1,24.1,19,20.3
18.3,Boxelder,Acer negundo,14.6,18.9,17.6,22.2
18.2,Subalpine fir,Abies lasiocarpa,6.6,25.3,18.7,22
18.1,Butternut,Juglans cinerea,9.6,22,17.8,23
18.1,Black Poplar,Populus nigra,8.9,18.8,21,23.6
17.9,Mexican alder,Alnus jorullensis,12.8,20.9,18.5,19.2
17.8,Eastern White Pine,Pinus strobus,7.2,23.4,19.2,21.3
17.5,Crack Willow,Salix fragilis,12.8,21.3,21.5,14.3
17.3,Black Cottonwood,Populus trichocarpa,6.6,24.1,19,19.7
17.3,Incense Cedar,Calocedrus decurrens,9.2,18.7,17.6,23.5
17.2,Batai,Falcataria moluccana,8.3,23.3,18.6,18.4
16.9,Nepalese alder,Alnus nepalensis,7.2,22.4,15.9,21.9
16.8,Indian pulai,Alstonia scholaris*,8.1,22.9,17.7,18.4
16.8,Sugar Pine,Pinus lambertiana,7.2,22.2,18.1,19.4
16.6,Jelutong,Dyera costulata,7.4,23,17.6,18.3
16.6,White Willow,Salix alba,11.3,20.7,18,16.3
16.4,Quaking Aspen,Populus tremuloides,6.6,22,18.7,18.3
16.3,Alligator Juniper,Juniperus deppeana,24.3,9.6,13.9,17.6
16.3,Northern Catalpa,Catalpa speciosa,10.9,22.7,21.5,9.9
16,"Cheesewood, emien",Alstonia congensis (and A. boonei),7.9,19.9,17.1,19.1
15.9,Obeche,Triplochiton scleroxylon,8.3,17.1,19.9,18.3
15.8,Andean alder,Alnus acuminata,8.3,20.9,16,18
15.8,Western Red Cedar,Thuja plicata,6.6,20.3,16.2,20
15.7,Siam balsa,Alstonia spatulata,8.8,18.7,15.7,19.5
15.6,Yellow buckeye,Aesculus flava (octandra),6.6,21.7,16.2,17.8
15.2,Black Willow,Salix nigra,8.3,18,17,17.4
14.4,Atlantic White Cedar,Chamaecyparis thyoides,6.6,16.1,14.2,20.8
14.3,Candlenut,Aleurites moluccanus,6.4,19.2,15.8,15.9
14.2,Balsam Poplar,Populus balsamifera,5.5,20.1,14.2,17
13.6,Gowen Cypress,Cupressus goveniana,11.3,9.7,18.3,15.1
13.4,Sugi,Cryptomeria japonica,5.9,20.3,10,17.2
12.3,Northern White Cedar,Thuja occidentalis,5.9,13.1,13.4,16.7
9.1,Paulownia,Paulownia spp.,5.4,9.2,10.6,11.4
3.7,Balsa,Ochroma pyramidale,0.4,7,3.2,4.1
0,Quipo,Cavanillesia platanifolia,0,0,0,0
